Time,Open,High,Low,Close,Volume
08.12.2013 18:00:00.000,1.37064,1.37457,1.36942,1.37370,155620.9531
09.12.2013 18:00:00.000,1.37370,1.37948,1.37343,1.37642,192167.3281
10.12.2013 18:00:00.000,1.37641,1.38107,1.37405,1.37849,187788.8438
11.12.2013 18:00:00.000,1.37850,1.38032,1.37370,1.37496,205174.3906
12.12.2013 18:00:00.000,1.37496,1.37691,1.37088,1.37389,175279.1563
13.12.2013 18:00:00.000,1.37389,1.37389,1.37389,1.37389,0.0000
14.12.2013 18:00:00.000,1.37290,1.37418,1.37286,1.37377,2543.8000
15.12.2013 18:00:00.000,1.37378,1.37983,1.37318,1.37605,182007.2031
16.12.2013 18:00:00.000,1.37605,1.37821,1.37229,1.37692,176596.4375
17.12.2013 18:00:00.000,1.37691,1.38112,1.36675,1.36825,219054.8750
18.12.2013 18:00:00.000,1.36823,1.36938,1.36490,1.36556,203295.4531
19.12.2013 18:00:00.000,1.36557,1.37091,1.36248,1.36703,184109.5625
20.12.2013 18:00:00.000,1.36703,1.36703,1.36703,1.36703,0.0000
21.12.2013 18:00:00.000,1.36724,1.36776,1.36672,1.36776,1941.1400
22.12.2013 18:00:00.000,1.36772,1.37166,1.36725,1.36971,122418.0000
23.12.2013 18:00:00.000,1.36970,1.36977,1.36549,1.36720,76839.5313
24.12.2013 18:00:00.000,1.36725,1.36831,1.36606,1.36690,4413.7100
25.12.2013 18:00:00.000,1.36689,1.37015,1.36653,1.36946,61020.5117
26.12.2013 18:00:00.000,1.36947,1.38932,1.36925,1.37476,197006.9844
27.12.2013 18:00:00.000,1.37476,1.37476,1.37476,1.37476,0.0000
28.12.2013 18:00:00.000,1.37558,1.37694,1.37460,1.37513,3885.6201
29.12.2013 18:00:00.000,1.37513,1.38189,1.37280,1.38081,144069.6094
30.12.2013 18:00:00.000,1.38081,1.38123,1.37410,1.37410,111240.4609
31.12.2013 18:00:00.000,1.37410,1.37410,1.37410,1.37410,0.0000
01.01.2014 18:00:00.000,1.37410,1.37746,1.36294,1.36744,177319.6720
02.01.2014 18:00:00.000,1.36744,1.36759,1.35932,1.36037,194583.7998
03.01.2014 18:00:00.000,1.36036,1.36067,1.35820,1.35874,23571.7998
04.01.2014 18:00:00.000,1.35874,1.35874,1.35874,1.35874,0.0000
05.01.2014 18:00:00.000,1.35874,1.36512,1.35715,1.36385,167910.4106
06.01.2014 18:00:00.000,1.36385,1.36562,1.35965,1.36292,204593.6005
07.01.2014 18:00:00.000,1.36293,1.36350,1.35579,1.35707,196881.9283
08.01.2014 18:00:00.000,1.35707,1.36330,1.35480,1.35827,231067.8822
09.01.2014 18:00:00.000,1.35826,1.36869,1.35710,1.36630,199882.4699
10.01.2014 18:00:00.000,1.36636,1.36745,1.36587,1.36661,22231.8804
11.01.2014 18:00:00.000,1.36661,1.36661,1.36661,1.36661,0.0000
12.01.2014 18:00:00.000,1.36661,1.36847,1.36370,1.36542,153322.5802
