Getting Data...
finding optimal breakout day len and atr open...
netR: -29.956562644453935, days: 10, open_atr: 4.1
netR: -31.087584281766556, days: 10, open_atr: 4.2
netR: -31.704985643088143, days: 10, open_atr: 4.3
netR: -32.947675763263575, days: 10, open_atr: 4.4
netR: 20.955169265201505, days: 11, open_atr: 0.5
netR: 11.228523103354467, days: 11, open_atr: 0.6
netR: 2.3023393629579774, days: 11, open_atr: 0.7
netR: -2.1523107338459817, days: 11, open_atr: 0.8
netR: -6.417495587351712, days: 11, open_atr: 0.9
netR: -9.661002703645906, days: 11, open_atr: 1.0
netR: -11.260127352397543, days: 11, open_atr: 1.1
netR: -12.638675403806227, days: 11, open_atr: 1.2
netR: -15.097713821448387, days: 11, open_atr: 1.3
netR: -17.721281829369445, days: 11, open_atr: 1.4
netR: -19.274448407876907, days: 11, open_atr: 1.5
netR: -21.41512160265533, days: 11, open_atr: 1.6
netR: -24.615591296446915, days: 11, open_atr: 1.7
netR: -27.061066666729065, days: 11, open_atr: 1.8
netR: -26.02691975171, days: 11, open_atr: 1.9
netR: -23.01863398778089, days: 11, open_atr: 2.0
netR: -19.401394093374314, days: 11, open_atr: 2.1
netR: -17.791875407249666, days: 11, open_atr: 2.2
netR: -18.98433691782806, days: 11, open_atr: 2.3
netR: -20.82445236664309, days: 11, open_atr: 2.4
netR: -23.033801083392163, days: 11, open_atr: 2.5
netR: -24.603476262280818, days: 11, open_atr: 2.6
netR: -27.34354213723281, days: 11, open_atr: 2.7
netR: -28.67900810740882, days: 11, open_atr: 2.8
netR: -29.06033260885182, days: 11, open_atr: 2.9
netR: -29.298980214011387, days: 11, open_atr: 3.0
netR: -29.73875580009925, days: 11, open_atr: 3.1
netR: -32.284293733779954, days: 11, open_atr: 3.2
netR: -33.501692575462236, days: 11, open_atr: 3.3
netR: -33.812091994395175, days: 11, open_atr: 3.4
netR: -31.996480686161068, days: 11, open_atr: 3.5
netR: -30.954096689762235, days: 11, open_atr: 3.6
netR: -29.58545487605012, days: 11, open_atr: 3.7
netR: -27.446344556230333, days: 11, open_atr: 3.8
netR: -27.705342026026845, days: 11, open_atr: 3.9
netR: -28.64333149655846, days: 11, open_atr: 4.0
netR: -29.455411250755834, days: 11, open_atr: 4.1
netR: -31.38392760865948, days: 11, open_atr: 4.2
netR: -31.90558502858459, days: 11, open_atr: 4.3
netR: -33.05662142314103, days: 11, open_atr: 4.4
netR: 17.179798966506002, days: 12, open_atr: 0.5
netR: 8.11873615593388, days: 12, open_atr: 0.6
